钟点,aaa
位,aab
3,aac
:,aad
00,aae
~,aaf
8,aag
视网膜脱离,aah
",",aai
脱离,aaj
区域,aak
内,aal
斑驳,aam
RPE,aan
萎缩,aao
颞下,aap
中周,aaq
和,aar
周边,aas
、,aat
鼻下,aau
斑状,aav
无,aaw
灌注,aax
伴,aay
小丛,aaz
视网膜,aba
新生,abb
血管形成,abc
玻璃体混浊,abd
视盘,abe
未见,abf
明显,abg
异常,abh
荧光,abi
.,abj
视网膜血管,abk
及,abl
各,abm
象限,abn
像,abo
大致,abp
正常,abq
黄斑区,abr
拱环,abs
鼻,abt
上方,abu
静脉,abv
期,abw
可见,abx
点状,aby
高,abz
色素上皮,aca
损害,acb
结构,acc
中浆,acd
除,ace
鼻侧,acf
以外,acg
其余,ach
广泛,aci
毛细血管扩张,acj
渗漏,ack
颞上,acl
部,acm
片状,acn
视网膜缺损,aco
巨大,acp
裂孔,acq
边缘,acr
翻转,acs
考虑,act
RRD,acu
后极部,acv
分散,acw
微,acx
血管瘤,acy
稍,acz
有,ada
扩张,adb
部分,adc
管壁,add
荧光染色,ade
小静脉,adf
通透性,adg
增加,adh
周围,adi
小,adj
毛细血管,adk
闭塞,adl
区,adm
DR,adn
病灶,ado
脉络膜,adp
血管,adq
染料,adr
中,ads
周至,adt
陈旧性,adu
建议,adv
定期,adw
观察,adx
多,ady
发动,adz
交叉,aea
压迹,aeb
分支,aec
轻度,aed
壁染,aee
属,aef
微小,aeg
弥漫性,aeh
多发,aei
斑,aej
形成,aek
血管弓,ael
颞,aem
下,aen
为,aeo
甚,aep
黄斑,aeq
囊样,aer
水肿,aes
BRVO,aet
下方,aeu
地图,aev
状,aew
玻璃膜,aex
疣,aey
上,aez
表面,afa
周缘,afb
远中周,afc
散在,afd
色素,afe
脱失,aff
鼻上象限,afg
颞侧,afh
上下,afi
动静脉,afj
小斑,afk
远,afl
边界,afm
不清,afn
动脉,afo
较细,afp
迂曲,afq
至,afr
中周部,afs
数片,aft
前方,afu
大片,afv
低,afw
扩大,afx
CRVO,afy
较,afz
或成,aga
簇,agb
的,agc
灶性,agd
血管扩张,age
点状出血,agf
遮蔽,agg
以及,agh
灌注区,agi
IRMA,agj
征象,agk
非,agl
增殖,agm
型,agn
重度,ago
玻璃体,agp
条索,agq
鼻上,agr
清楚的,ags
视网膜萎缩,agt
纤维,agu
膜,agv
广泛的,agw
荧光素,agx
眼底,agy
血管造影,agz
造影,aha
过程,ahb
随,ahc
背景,ahd
改变,ahe
而,ahf
形态,ahg
大小,ahh
保持不变,ahi
下半视网膜,ahj
幕状,ahk
脉络膜萎缩,ahl
多个,ahm
见,ahn
条斑,aho
变性,ahp
走行,ahq
僵直,ahr
末端,ahs
纠集,aht
伴微,ahu
FEVR,ahv
节段性,ahw
着,ahx
染,ahy
中心,ahz
偏,aia
中心凹,aib
下的,aic
直径约,aid
1,aie
/,aif
3PD,aig
典型性,aih
CNV,aii
弧形,aij
灶,aik
点,ail
线状,aim
漆样,ain
裂纹,aio
性,aip
病理,aiq
近视,air
病变,ais
紊乱,ait
线条状,aiu
漆,aiv
高度近视,aiw
隐匿性,aix
广泛性,aiy
沉积物,aiz
近中,aja
周,ajb
为主,ajc
残留,ajd
光凝,aje
术后,ajf
糖尿病,ajg
斑点状,ajh
簇状,aji
减弱,ajj
末梢,ajk
局灶,ajl
前,ajm
积血,ajn
第三,ajo
漂浮,ajp
于,ajq
玻璃体腔,ajr
其,ajs
融合的,ajt
陈旧,aju
激光,ajv
全程,ajw
偏下,ajx
静脉扩张,ajy
其属区,ajz
火焰状,aka
出血,akb
明显的,akc
多处,akd
可,ake
透见,akf
血管网,akg
不明显,akh
PCV,aki
视网膜色素,akj
上皮,akk
组织,akl
染色,akm
各期,akn
弧,ako
数,akp
OCT,akq
检查,akr
走,aks
行弯曲,akt
渐有,aku
视网膜中央静脉,akv
阻塞,akw
膜形成,akx
管径,aky
粗细,akz
不均,ala
上支,alb
所属,alc
大量,ald
鼻侧视网膜,ale
血管闭塞,alf
局部,alg
行径,alh
结构破坏,ali
扭曲,alj
先天,alk
侧近,all
小灶,alm
数个,aln
神经上皮,alo
VKH,alp
后,alq
屈光间,alr
质不清,als
前膜,alt
间杂,alu
约,alv
2,alw
处,alx
显著,aly
数处,alz
<,ama
1PD,amb
状无,amc
中于,amd
阻挡,ame
位置,amf
不恒定,amg
未见异常,amh
质,ami
混浊,amj
血管膜,amk
视网膜水肿,aml
斑点,amm
结构变形,amn
局限性,amo
圆形,amp
原因,amq
待查,amr
在,ams
息肉状,amt
灶伴,amu
类,amv
圆形的,amw
小片,amx
近,amy
血管芽,amz
周为,ana
PDR,anb
其内,anc
可透见,and
轻微,ane
中间,anf
葡萄膜炎,ang
局灶性,anh
萎缩灶,ani
及其,anj
上缘,ank
增强,anl
2PD,anm
针尖,ann
玻璃,ano
CSC,anp
网点,anq
杯盘,anr
比,ans
充盈缺损,ant
纤细,anu
部为,anv
椒盐,anw
样,anx
团,any
絮状混浊,anz
半,aoa
端斑状,aob
走形,aoc
上半,aod
变小,aoe
包括,aof
网状,aog
变形,aoh
数团,aoi
多灶性,aoj
条带状,aok
渐,aol
出现,aom
增多,aon
活动性,aoo
区内,aop
甚伴,aoq
侧支循环,aor
部斑状,aos
半侧,aot
RVO,aou
青光眼,aov
期渐,aow
Behcet,aox
病,aoy
相对性,aoz
上半视网膜,apa
弱,apb
脉络膜炎,apc
平直,apd
近视眼,ape
底,apf
其中,apg
处见,aph
团状,api
素,apj
可辨,apk
Coats,apl
4PD,apm
外,apn
ICNV,apo
块状,app
请,apq
后极,apr
远端,aps
近端,apt
下缘,apu
侧缘,apv
破坏,apw
周灶性,apx
所在,apy
中度,apz
增殖期,aqa
状高,aqb
急性,aqc
坏死,aqd
恢复期,aqe
渐见,aqf
瘢痕,aqg
残存,aqh
交通支,aqi
引流,aqj
区见,aqk
大,aql
仅见,aqm
粗大,aqn
部低,aqo
区较,aqp
部多,aqq
息肉,aqr
脱离区,aqs
部见,aqt
斑渐,aqu
毛细血管通透性,aqv
见到,aqw
部可,aqx
微血管,aqy
强,aqz
有所,ara
余,arb
及条,arc
索状,ard
不变,are
花瓣,arf
变化,arg
见数,arh
团样,ari
不清楚,arj
弯曲,ark
无血管区,arl
壁有,arm
吲哚菁绿,arn
处小,aro
荧光增强,arp
可疑,arq
普遍,arr
血管炎,ars
原发性视网膜色素变性,art
数斑,aru
隐约,arv
符合,arw
下半部,arx
看不清,ary
炎,arz
AMD,asa
dry,asb
期间,asc
其间,asd
夹杂,ase
增生,asf
性强,asg
诊断,ash
CME,asi
疣样,asj
PED,ask
疣性,asl
远中,asm
周斑,asn
状点,aso
簇样,asp
聚焦,asq
不良,asr
爬行,ass
其上,ast
轻,asu
瘤样,asv
内在,asw
MRI,asx
超声,asy
不规则的,asz
血管性,ata
周局,atb
鼻下象限,atc
极,atd
絮状,ate
纵向的,atf
条形,atg
静止,ath
清,ati
浆液性,atj
诊,atk
专科,atl
带状,atm
1.5,atn
PD,ato
状透见,atp
局灶类,atq
上分支,atr
伴轻,ats
棉绒,att
高血压性视网膜病变,atu
旁,atv
BVN,atw
注意,atx
随访,aty
绕以,atz
环形,aua
对称性,aub
其近,auc
缘,aud
状强,aue
区域性,auf
局部异常,aug
吻合,auh
累及,aui
陈旧的,auj
视网膜黄斑,auk
小分支,aul
三个,aum
综合征,aun
小团,auo
屈光介质,aup
中至,auq
范围,aur
膨大,aus
并,aut
向,auu
下长入,auv
与,auw
血管吻合,aux
渗出,auy
灶渐,auz
围绕,ava
丛状,avb
散在的,avc
及其下,avd
缘斑,ave
环,avf
本身,avg
单纯性,avh
及局,avi
清晰,avj
萎缩性,avk
周及,avl
周边的,avm
欠清,avn
部灶性,avo
黄斑中心凹,avp
下斜,avq
行,avr
哑铃,avs
上和,avt
圆斑状,avu
视网膜变性,avv
不规则,avw
尚清,avx
偏小,avy
隆起,avz
前及,awa
视神经视网膜炎,awb
外周,awc
NPDR,awd
网,awe
弥漫的,awf
密集,awg
亦,awh
可以,awi
模糊,awj
云雾,awk
孔源性,awl
多局,awm
样高,awn
斑状弱,awo
从,awp
鼻下的,awq
清晰的,awr
小圆点,aws
状低,awt
先天性,awu
黄斑缺损,awv
脱色素,aww
出血点,awx
少量,awy
吻合支,awz
出,axa
呈,axb
所致,axc
连其,axd
多灶,axe
黄斑部,axf
缺血性,axg
视神经,axh
弥漫,axi
其下,axj
仍强,axk
伴近,axl
骨细胞,axm
多发性,axn
微动脉瘤,axo
性高,axp
内见,axq
稀疏,axr
充盈,axs
静脉回流,axt
基本,axu
DME,axv
补充光,axw
凝,axx
簇状强,axy
均,axz
全,aya
少许,ayb
斑样,ayc
双轨,ayd
征,aye
杯,ayf
一点,ayg
墨渍,ayh
蛇行,ayi
受累,ayj
硬性,ayk
星状,ayl
条状,aym
出血性,ayn
延迟,ayo
仅,ayp
伴其属,ayq
浅层,ayr
混浊性,ays
属支,ayt
聚集,ayu
稍强,ayv
伴有,ayw
见类,ayx
三角形,ayy
条,ayz
索性,aza
前条,azb
纤维膜,azc
性低,azd
牵拉,aze
见成,azf
斑外,azg
杯底,azh
羽毛状,azi
有髓神经纤维,azj
见点,azk
圆点,azl
缘见,azm
仍弱,azn
伴其下,azo
方舟,azp
下弱,azq
伴弱,azr
线状萎缩,azs
见局,azt
特别是,azu
周除,azv
区域边界,azw
不,azx
伴局,azy
带状排列,azz
RP,baa
6,bab
*,bac
富,bad
占位,bae
绕,baf
孤立,bag
脉络膜血管瘤,bah
玻璃体出血,bai
斑驳的,baj
拱,bak
环缩小,bal
周点,bam
一小,ban
部局,bao
周部,bap
伴其,baq
周弧,bar
窄,bas
性弱,bat
襻,bau
黄色斑点,bav
症,baw
结合,bax
彩照,bay
一,baz
其鼻,bba
皮质,bbb
可能性,bbc
周小,bbd
=,bbe
方向,bbf
拖曳,bbg
伸直,bbh
不清的,bbi
伴小,bbj
小簇,bbk
泡状,bbl
除外,bbm
显影,bbn
晶体,bbo
周小簇,bbp
Eales,bbq
脉络膜黑色素瘤,bbr
小圆,bbs
伴点,bbt
颞测,bbu
两个,bbv
大少,bbw
不一,bbx
相连,bby
半球,bbz
丰富,bca
吲哚,bcb
青绿,bcc
色素沉着,bcd
肿瘤,bce
会诊,bcf
睫状体,bcg
平滑肌瘤,bch
属区,bci
局限性水肿,bcj
影响,bck
成像质量,bcl
焦点,bcm
荧光素染料,bcn
弥散性,bco
葡萄串,bcp
炎性,bcq
偏弱,bcr
周小团,bcs
致密,bct
排除,bcu
全身感染,bcv
因素,bcw
周斑状,bcx
斑较,bcy
斑块,bcz
隐见,bda
影,bdb
偏鼻上,bdc
确切,bdd
慢性,bde
欠,bdf
均匀,bdg
未,bdh
半月形,bdi
放射状,bdj
清楚,bdk
成,bdl
凹陷,bdm
增大,bdn
不在,bdo
同一,bdp
平面,bdq
盘周,bdr
异位,bds
继发性,bdt
移位,bdu
IGA,bdv
结节,bdw
环绕,bdx
稍直,bdy
进一步,bdz
黄斑裂孔,bea
劈裂,beb
等,bec
情况,bed
串珠,bee
尤,bef
以下,beg
方及,beh
著,bei
蛇形,bej
各种,bek
余未见,bel
囊,bem
带样,ben
湿性,beo
老年,bep
黄斑变性,beq
一下,ber
全过程,bes
其属,bet
大小不等,beu
前锋,bev
小点,bew
略大于,bex
冲刷,bey
现象,bez
成簇,bfa
照相,bfb
图片,bfc
两,bfd
一片,bfe
浆的,bff
可能,bfg
全周,bfh
颗粒状,bfi
斑性,bfj
激光治疗,bfk
随后,bfl
消退,bfm
尚,bfn
原田,bfo
荧光点,bfp
视杯,bfq
孤立的,bfr
痣,bfs
处及,bft
2.5,bfu
治疗,bfv
缓慢,bfw
前移,bfx
部及,bfy
主干,bfz
以,bga
较大,bgb
FAZ,bgc
两处,bgd
样强,bge
融合,bgf
成片的,bgg
融合成,bgh
带状的,bgi
结晶,bgj
条纹状,bgk
无渗漏,bgl
细胞内,bgm
旁及,bgn
始终,bgo
沿,bgp
荧,bgq
颞尚,bgr
脉络膜视网膜萎缩,bgs
病理性,bgt
形,bgu
临床,bgv
但,bgw
其他,bgx
部位,bgy
周成,bgz
多点,bha
和局,bhb
动脉硬化,bhc
端的,bhd
中线,bhe
轮廓,bhf
短线,bhg
下端,bhh
端,bhi
弥散,bhj
部斑,bhk
色素斑点,bhl
沉着,bhm
斜入,bhn
后巩膜葡萄肿,bho
透见性,bhp
毛刷,bhq
稀疏的,bhr
区及,bhs
下支,bht
相应,bhu
周约,bhv
消失,bhw
显露,bhx
斑状强,bhy
侧局,bhz
处局,bia
颞下点,bib
静脉的,bic
沙硕样,bid
晶状体混浊,bie
成像,bif
或,big
部分融合,bih
迁移,bii
表现,bij
中心的,bik
扩张部分,bil
影子,bim
两片,bin
性质,bio
呈环形,bip
排列的,biq
单个,bir
较大的,bis
Fuchs,bit
旁有,biu
髓鞘,biv
神经纤维,biw
仍,bix
保持,biy
形态发育,biz
AION,bja
隐约可见,bjb
片,bjc
高强,bjd
见条,bje
偏低,bjf
因故,bjg
刚,bjh
交叉处,bji
逐渐增强,bjj
化,bjk
前期,bjl
开始,bjm
小支,bjn
睫状,bjo
中央动脉,bjp
并且,bjq
较少,bjr
除鼻上,bjs
视网膜中央动脉,bjt
再通,bju
一根,bjv
通过,bjw
脂质,bjx
4,bjy
部类,bjz
下强,bka
一类,bkb
仍见,bkc
方,bkd
团块,bke
中小,bkf
略,bkg
弥散点,bkh
簇透见,bki
变细,bkj
A,bkk
V,bkl
交叉压迫,bkm
微低,bkn
侧枝循环,bko
镰状,bkp
增殖性,bkq
伴斑,bkr
盘状,bks
稀少,bkt
斑见,bku
岛样,bkv
出血灶,bkw
遮挡,bkx
积存,bky
换班,bkz
及点,bla
Dalen,blb
-,blc
高低,bld
花瓣样,ble
及数,blf
之弱,blg
10,blh
滋养,bli
浅,blj
带,blk
皱襞,bll
位于,blm
及斑,bln
小线,blo
下边缘,blp
弧线,blq
wet,blr
可见的,bls
见斑,blt
所见,blu
放射,blv
皱褶,blw
云,blx
生理,bly
暗斑,blz
患儿,bma
合作,bmb
故,bmc
时期,bmd
无法,bme
采集,bmf
窥不清,bmg
灶及,bmh
样透见,bmi
缺血,bmj
程度较,bmk
C,bml
D,bmm
怒张,bmn
II,bmo
对焦,bmp
层间,bmq
斑透见,bmr
所,bms
辖,bmt
完整,bmu
加深,bmv
扇形,bmw
形状,bmx
一高,bmy
余中,bmz
片状组织,bna
大部分,bnb
月牙,bnc
浆液,bnd
血液,bne
巩膜,bnf
后葡萄肿,bng
尚可,bnh
内出血,bni
5PD,bnj
细节,bnk
部小,bnl
视网膜脉络膜炎,bnm
极至,bnn
闭塞性,bno
继发性视网膜脱离,bnp
旁小,bnq
血管充盈,bnr
CRAO,bns
下至,bnt
区局,bnu
请注意,bnv
病史,bnw
外伤,bnx
发作期,bny
动脉瘤,bnz
斑低,boa
竖,bob
椭圆形,boc
数条,bod
RAP,boe
终末,bof
缩窄,bog
局灶成,boh
前见,boi
环状,boj
不太,bok
部一,bol
Weiss,bom
色素痣,bon
动,boo
静脉充盈,bop
回流,boq
伴壁染,bor
不完全,bos
合并,bot
睫网,bou
双眼,bov
自发,bow
可见一斑,box
早,boy
星空,boz
影像,bpa
灶样,bpb
墨迹,bpc
条带,bpd
几个,bpe
盘缘,bpf
分辨,bpg
PDRDME,bph
矢状,bpi
两点,bpj
成片,bpk
光凝斑,bpl
弧状弱,bpm
及远,bpn
呈强,bpo
稍弱,bpp
伴高,bpq
新个生,bpr
不均匀,bps
中段,bpt
部一灶性,bpu
或者,bpv
斑状出血,bpw
灶缘,bpx
花冠,bpy
呈弱,bpz
视神经萎缩,bqa
强弱,bqb
对称的,bqc
缘至,bqd
毛糙的,bqe
视网膜锥,bqf
杆,bqg
细胞,bqh
营养不良,bqi
中下,bqj
样条,bqk
失去,bql
均质的,bqm
湮灭,bqn
Stargardt,bqo
象散,bqp
成斑,bqq
周三,bqr
小于,bqs
左侧,bqt
眼球震颤,bqu
中鼻上,bqv
不同,bqw
程度,bqx
最,bqy
可疑的,bqz
两小团,bra
多多,brb
不规则性,brc
典型,brd
小动脉,bre
小动脉瘤,brf
处有,brg
簇瘤样,brh
RRA,bri
肥大,brj
脉络,brk
膜通透性,brl
中见,brm
炊烟,brn
弧形的,bro
拟诊,brp
抗,brq
VEGF,brr
斑状点,brs
下方的,brt
窥见,bru
前舟,brv
斑和点,brw
圆,brx
特点,bry
及大,brz
轻微的,bsa
状微,bsb
环形的,bsc
上类,bsd
显,bse
内未见,bsf
渐显,bsg
患者,bsh
造影检查,bsi
更,bsj
中断,bsk
支,bsl
基底部,bsm
环状纤维,bsn
伴血管,bso
不伴,bsp
青排,bsq
点状的,bsr
水肿形成,bss
末端分支,bst
待排,bsu
界限,bsv
中心点,bsw
三处,bsx
期内,bsy
清晰可见,bsz
相对,bta
视,btb
网膜,btc
及及,btd
弧透见,bte
相连的,btf
PM,btg
良好,bth
弧低,bti
0.8,btj
毛细,btk
毛细血管瘤,btl
各个,btm
临近,btn
膜性,bto
骨样,btp
色素细胞,btq
广泛分布,btr
不佳,bts
体积,btt
血性,btu
硅油,btv
反光,btw
周大,btx
分布,bty
玻璃体膜,btz
各级,bua
毛,bub
干性,buc
检查报告,bud
状弱,bue
发育异常,buf
视野检查,bug
上皮组织,buh
类圆,bui
见高低,buj
乳头水肿,buk
乳头,bul
不完整,bum
见片,bun
检测,buo
到,bup
拍摄,buq
周见,bur
整个,bus
附近,but
荧光性,buu
界清,buv
视网膜色素变性,buw
亚型,bux
视网,buy
瘢痕组织,buz
上周,bva
部部局,bvb
渗出性,bvc
新月形,bvd
内侧缘,bve
各项,bvf
限,bvg
稳定,bvh
状及,bvi
见略,bvj
外缘,bvk
马蹄形,bvl
上极,bvm
高血压,bvn
受,bvo
见多局,bvp
囊袋样,bvq
尖端,bvr
朝向,bvs
血管丰富的,bvt
瘤体,bvu
三角形的,bvv
颞下经,bvw
线状排列,bvx
簇状弱,bvy
形态异常,bvz
4RVO,bwa
细小的,bwb
三支,bwc
倾向,bwd
旁弱,bwe
坏,bwf
内小,bwg
结构完整,bwh
中间部,bwi
均一,bwj
其周,bwk
轻轻,bwl
度,bwm
中重度,bwn
荧光的,bwo
交界处,bwp
条强,bwq
间,bwr
不能,bws
原发性,bwt
部高,bwu
PRE,bwv
血管分布,bww
瞳孔,bwx
DRI,bwy
一条,bwz
在上,bxa
另,bxb
走入,bxc
部稍,bxd
样低,bxe
缘小,bxf
缺乏,bxg
朦胧,bxh
不定,bxi
灶的,bxj
确切的,bxk
上端,bxl
外观,bxm
呈瘤样,bxn
线装,bxo
余中周,bxp
大小不一,bxq
微弱,bxr
晕,bxs
FAG,bxt
簇新,bxu
生,bxv
严重,bxw
PRP,bxx
具有,bxy
螺旋状,bxz
高度,bya
牛眼,byb
进展期,byc
稍低,byd
蝶形,bye
中央,byf
牵牛花,byg
新成,byh
存在,byi
外余,byj
血管壁,byk
牵引,byl
染灶,bym
呈节,byn
段,byo
区的,byp
格子,byq
小叶,byr
明显增加,bys
F,byt
周小段,byu
弥散的,byv
曲折,byw
无症状,byx
缘小簇,byy
大于,byz
血管病,bza
变局,bzb
眼,bzc
直径,bzd
软性,bze
图像,bzf
方圆,bzg
皮萎缩,bzh
填充,bzi
两小簇,bzj
眼位,bzk
上局,bzl
微动脉,bzm
粟粒状,bzn
位置不变,bzo
占位性,bzp
黑瘤,bzq
闭锁,bzr
浓厚,bzs
深层,bzt
部未见,bzu
星芒状,bzv
为重,bzw
结果,bzx
黄,bzy
PDRVH,bzz
中心性,caa
脉络膜视网膜病,cab
变,cac
相当于,cad
倍,cae
结构异常,caf
个,cag
小囊,cah
窗样,cai
缺损,caj
形及,cak
染伴,cal
FEVER,cam
液平,can
晕状,cao
点样,cap
性富,caq
周略,car
其所辖,cas
同心圆,cat
PR,cau
线,cav
不足,caw
部灶,cax
U,cay
提前,caz
终止,cba
余下,cbb
稍微,cbc
伴其上,cbd
各见,cbe
活动期,cbf
性前,cbg
下远,cbh
炎症,cbi
二,cbj
三级,cbk
P,cbl
D盘,cbm
成分,cbn
部见局,cbo
畸形,cbp
花蕊,cbq
扩展,cbr
外围,cbs
荧光带,cbt
视神经炎,cbu
横向,cbv
细,cbw
即,cbx
6PD,cby
光凝后,cbz
索样,cca
以后,ccb
一过性,ccc
白点,ccd
嵴,cce
血光,ccf
瘤,ccg
较直,cch
窥清,cci
伴较,ccj
规则的,cck
大体,ccl
下半,ccm
可见区域,ccn
提示,cco
弧高,ccp
一地,ccq
图样,ccr
静脉炎,ccs
动脉血,cct
管,ccu
淋巴瘤,ccv
内科,ccw
小弧,ccx
小孩,ccy
配合,ccz
欠佳,cda
边缘模糊,cdb
也,cdc
一团,cdd
斑及,cde
对应,cdf
